"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"ZWINT",0.13526237006461,1.14483711593866,0.262799209243214,0.514698542869009,0.606763691826704,0.683988198462865,1.91619098834774,""
"TPX2",-0.0999953631172748,0.90484161367068,0.195558658762737,-0.511331810874173,0.609118733806003,0.616755077363143,1.32749348303798,""
"CCR7",0.0675548791607408,1.06988897259573,0.134802410048866,0.501139995466342,0.616272600599799,0.821475644480232,1.39342221692549,""
"SPAG5",-0.123250525802016,0.884042159444845,0.250697643966953,-0.491630171914432,0.622980809962789,0.540852392682181,1.44499784090842,""
"CD7",0.0783313028089266,1.0814808969831,0.161677420163007,0.484491295877624,0.628037240140567,0.787768812104909,1.48470073017261,""
"CCNE1",0.0900738142838918,1.09425505237732,0.185952920246186,0.484390426160782,0.628108811638778,0.760037722383279,1.57544038195706,""
"MYBL2",0.0880418828701256,1.09203385858267,0.186688857694641,0.471596880270873,0.637214553933431,0.757401673089472,1.5745119012301,""
"HJURP",-0.0994270570063878,0.905355986835976,0.210935171774028,-0.471363102559789,0.637381460248212,0.598785167716331,1.36888738581456,""
"FOXM1",-0.0854570543946239,0.918092570248761,0.181794578568884,-0.470074823283266,0.638301560961722,0.64289884719147,1.31108333951475,""
"KIF23",-0.108101757281001,0.897536260933976,0.230563380435069,-0.468859179098669,0.63917029617418,0.571210389576585,1.4102883182648,""
"SLC2A4",-0.0950847860241937,0.909295835621107,0.206687111571641,-0.46004216373809,0.645485956481727,0.606419019355548,1.36344489583549,""
"MUC1",0.0590184502942746,1.06079481253606,0.128456220584479,0.459444081615816,0.645915298926006,0.824687200344125,1.36449993868446,""
"MAPT",0.0541395044145398,1.05563185718768,0.120197949758499,0.45041953313943,0.652407963121136,0.83406482808489,1.33605755858117,""
"ORC1",0.096263251623264,1.10104887874983,0.220544757938427,0.436479436297186,0.662488915823678,0.714625584908542,1.69642489577448,""
"GTSE1",-0.0964835160312506,0.908024865329889,0.222376415534714,-0.43387476949501,0.664379382321307,0.587233189594339,1.40405748630614,""
"UBE2S",-0.102268840054276,0.902786813785488,0.242940664488062,-0.420962214250063,0.673782673924483,0.560781578264083,1.45337162049418,""
"KIF18A",-0.0952280181563771,0.909165604566644,0.230344233297396,-0.413416115494537,0.679301769471066,0.578860120044657,1.42794790641868,""
"CXCL2",0.0638643402602453,1.06594778275364,0.155653093525361,0.410299203271793,0.681586476462951,0.785676524945762,1.44619909018644,""
"FMOD",0.070461103107592,1.07300283214328,0.173723355291189,0.405593726816337,0.685041138910799,0.763356275329651,1.50825389794601,""
"HMMR",0.103731027932144,1.10930204352069,0.256309818420174,0.404709536963956,0.685691031110441,0.671241037599418,1.83324760381167,""
"TACC3",0.109178620144434,1.11536155859231,0.27418978645469,0.398186313050271,0.690492854222677,0.651665760195897,1.90900225602077,""
"SFN",-0.0524339216114213,0.948917021891895,0.13390363630656,-0.391579519852461,0.695368922652147,0.729876289111624,1.23369333662307,""
