baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
1345.952065,-3.267218322,0.169458973,1.13E-83,3.61E-82,ADCY5,Down,-3.267218322,81.4424099,protein_coding
4261.377141,-1.381041414,0.09912097,5.65E-45,5.26E-44,ADCY6,Down,-1.381041414,43.27864109,protein_coding
672.6042906,0.91923557,0.126439992,2.25E-13,5.75E-13,ADCY7,NS,0.91923557,12.24055997,protein_coding
19.63811736,1.415455055,0.332977606,0.469537418,0.503860259,ADCY8,NS,1.415455055,0.297689895,protein_coding
1883.811427,-0.738272946,0.081493949,3.57E-20,1.26E-19,ADCY9,NS,-0.738272946,18.89953157,protein_coding
184.937222,1.977643677,0.298174051,2.04E-09,4.23E-09,ADCYAP1,Up,1.977643677,8.373853633,protein_coding
497.6969171,-2.01144985,0.195275623,5.12E-36,3.38E-35,ADCYAP1R1,Down,-2.01144985,34.47050825,protein_coding
14144.15974,-0.80526263,0.054439286,2.24E-49,2.46E-48,ADD1,NS,-0.80526263,47.60915573,protein_coding
883.4944795,1.840653678,0.180993647,6.47E-25,2.78E-24,ADD2,Up,1.840653678,23.5557841,protein_coding
6708.831829,-1.182545926,0.091707534,5.33E-39,3.98E-38,ADD3,Down,-1.182545926,37.4000435,protein_coding
3135.214706,-1.670949646,0.115063882,8.01E-49,8.60E-48,ADGRA2,Down,-1.670949646,47.06543012,protein_coding
3575.562755,0.145635967,0.087638505,0.085190486,0.101608467,ADGRA3,NS,0.145635967,0.993070101,protein_coding
245.4748796,0.780891397,0.231602751,0.000472144,0.000695898,ADGRB1,NS,0.780891397,3.157454406,protein_coding
601.9127596,0.347866092,0.161961843,0.030826504,0.038653312,ADGRB2,NS,0.347866092,1.412813292,protein_coding
48.99863702,-0.186210625,0.190499475,7.89E-21,2.86E-20,ADGRB3,NS,-0.186210625,19.54344909,protein_coding
606.6779628,-2.758487682,0.181475933,4.34E-53,5.34E-52,ADGRD1,Down,-2.758487682,51.27221499,protein_coding
211.3348374,-5.382117086,0.284540898,7.11E-81,2.13E-79,ADGRD2,Down,-5.382117086,78.67237801,protein_coding
90.12972583,1.65496451,0.179123294,5.95E-21,2.17E-20,ADGRE1,Up,1.65496451,19.66308237,protein_coding
430.2506879,0.905602259,0.121316646,5.92E-14,1.55E-13,ADGRE2,NS,0.905602259,12.80854967,protein_coding
12.79772136,0.672079232,0.222490325,0.631138635,0.661296943,ADGRE3,NS,0.672079232,0.179603485,protein_coding
2536.936891,0.37583667,0.103402103,0.000269709,0.000404758,ADGRE5,NS,0.37583667,3.392805025,protein_coding
255.5104367,0.925902404,0.233225029,3.87E-05,6.19E-05,ADGRF1,NS,0.925902404,4.20849007,protein_coding
58.00043865,-0.054450389,0.114798982,0.632279121,0.662226012,ADGRF3,NS,-0.054450389,0.178993764,protein_coding
34.49940037,4.023885309,0.334164553,2.41E-28,1.18E-27,ADGRF4,Up,4.023885309,26.92750517,protein_coding
4786.090342,-2.109236885,0.122348314,2.25E-67,4.52E-66,ADGRF5,Down,-2.109236885,65.34489218,protein_coding
10739.88604,0.960421066,0.104882215,4.63E-20,1.62E-19,ADGRG1,NS,0.960421066,18.78933071,protein_coding
550.8281235,0.733574439,0.222234076,0.000642106,0.00093577,ADGRG2,NS,0.733574439,3.02883106,protein_coding
82.86797103,-0.938985602,0.169529561,1.67E-08,3.29E-08,ADGRG3,NS,-0.938985602,7.483213908,protein_coding
10.33821057,-2.352330046,0.295942878,2.23E-16,6.60E-16,ADGRG4,Down,-2.352330046,15.1801905,protein_coding
198.0758945,0.757862071,0.182438215,2.27E-05,3.68E-05,ADGRG5,NS,0.757862071,4.433842125,protein_coding
1498.462401,0.862516826,0.116050608,6.83E-14,1.79E-13,ADGRG6,NS,0.862516826,12.74736888,protein_coding
3502.534118,0.29768254,0.109694849,0.007184468,0.009589243,ADGRL1,NS,0.29768254,2.018215654,protein_coding
4479.473056,-0.183825679,0.138428808,0.167565126,0.193105996,ADGRL2,NS,-0.183825679,0.714204241,protein_coding
557.5807156,-0.603079653,0.240419781,0.000137694,0.000211428,ADGRL3,NS,-0.603079653,3.674836816,protein_coding
3354.634531,-1.957249986,0.120810837,9.06E-60,1.42E-58,ADGRL4,Down,-1.957249986,57.84835182,protein_coding
683.1989071,-1.848911611,0.220711473,1.10E-17,3.47E-17,ADGRV1,Down,-1.848911611,16.45954897,protein_coding
66.9516184,-5.462607965,0.249638864,6.16E-108,3.71E-106,ADH1A,Down,-5.462607965,105.431091,protein_coding
39438.71852,-5.855990602,0.311844481,7.31E-80,2.13E-78,ADH1B,Down,-5.855990602,77.67215947,protein_coding
459.0120907,-3.433363921,0.248944663,1.40E-61,2.34E-60,ADH1C,Down,-3.433363921,59.6316594,protein_coding
